league,league_country,season,team,coach_name,coach_nationality,domestic_coach,dominant_formation,back_four_rate,avg_age,source_notes
La Liga,Spain,2021-2022,Real Madrid,Carlo Ancelotti,Italian,0,4-3-3 Attacking,1.0,28.117570451593465,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
La Liga,Spain,2022-2023,Barcelona,Xavi,Spanish,1,4-3-3 Attacking,1.0,26.378913557229044,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
La Liga,Spain,2023-2024,Real Madrid,Carlo Ancelotti,Italian,0,4-3-1-2,1.0,27.825282034298947,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Ligue 1,France,2019-2020,Paris Saint-Germain,Thomas Tuchel,German,0,4-3-3 Attacking,1.0,27.55622780530556,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Ligue 1,France,2020-2021,Lille,Christophe Galtier,French,1,4-4-2 double 6,0.9736842105263158,25.85074342090489,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Ligue 1,France,2021-2022,Paris Saint-Germain,Mauricio Pochettino,Argentine,0,4-3-3 Attacking,0.9210526315789472,28.185458585449837,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Ligue 1,France,2022-2023,Paris Saint-Germain,Christophe Galtier,French,1,4-3-1-2,0.3421052631578947,27.289443826882284,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Ligue 1,France,2023-2024,Paris Saint-Germain,Luis Enrique,Spanish,0,4-3-3 Attacking,0.9117647058823528,25.1498878598884,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2019-2020,Liverpool,Jürgen Klopp,German,0,4-3-3 Attacking,1.0,27.10994243252929,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2020-2021,Manchester City,Pep Guardiola,Spanish,0,4-3-3 Attacking,0.9210526315789472,26.61635163092796,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2021-2022,Manchester City,Pep Guardiola,Spanish,0,4-3-3 Attacking,1.0,27.467526346417035,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2022-2023,Manchester City,Pep Guardiola,Spanish,0,4-3-3 Attacking,0.6052631578947368,27.605193694414968,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2023-2024,Manchester City,Pep Guardiola,Spanish,0,4-2-3-1,0.7368421052631579,27.086519107507257,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2019-2020,Porto,Sérgio Conceição,Portuguese,1,4-4-2 double 6,1.0,27.90326881416863,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2020-2021,Sporting CP,Rúben Amorim,Portuguese,1,3-4-3,0.0,25.95826909489296,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2021-2022,Porto,Sérgio Conceição,Portuguese,1,4-4-2 double 6,1.0,26.20834285330642,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2022-2023,Benfica,Roger Schmidt,German,0,4-2-3-1,1.0,26.417769137752195,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2023-2024,Sporting CP,Rúben Amorim,Portuguese,1,3-4-3,0.0,26.68521370814438,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2019-2020,Juventus,Maurizio Sarri,Italian,1,4-3-3 Attacking,1.0,29.145526760375997,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2020-2021,Inter,Antonio Conte,Italian,1,3-5-2 flat,0.0,28.191044087060625,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2021-2022,AC Milan,Stefano Pioli,Italian,1,4-2-3-1,1.0,26.016164391968665,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2022-2023,Napoli,Luciano Spalletti,Italian,1,4-3-3 Attacking,1.0,26.870633565838094,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2023-2024,Inter,Simone Inzaghi,Italian,1,3-5-2 flat,0.0,29.50435553360792,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2019-2020,İstanbul Başakşehir,Okan Buruk,Turkish,1,4-1-4-1,1.0,30.57925974047882,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2020-2021,Beşiktaş,Sergen Yalçın,Turkish,1,4-1-4-1,1.0,28.14815787735876,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2021-2022,Trabzonspor,Abdullah Avcı,Turkish,1,4-2-3-1,1.0,28.306784658747397,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2022-2023,Galatasaray,Okan Buruk,Turkish,1,4-2-3-1,1.0,28.023699240425486,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2023-2024,Galatasaray,Okan Buruk,Turkish,1,4-2-3-1,1.0,28.871841812887784,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
